content,label
"5>STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT

STOP EDITING MY POSTS DIPSHIT 
I HAVE A RIGHT TO STATE MY OPINION AND I DONT GIVE A SHIT WHAT YOU CONSIDER VANDALISM YOU WORTHLESS ADMIN POWER TRIP PIECE OF SHIT",1
"Why naturally, it was expected of the troll. What I didn't expect was the surprisingly punitive response from the apparently malleable and novice admin that blocked me. If I cared enough, I would probably report both, but I couldn't be bothered, I don't suffer from vaginitis. Someone does however need ventilate the pervasive odor of troll that lingers over the project and threatens to halt any further progress.",0
"Hey motherfucker... 

My acounts are called nicH whith an H NOT a K! Nich45 is obviously not banned because I am writing this message to you.  You never answered my question, Why is it bad to have sock puppet accounts? I think that you need to FUCK off! Seriously, why are you such an asshole to all of my accounts?  You should go and get a life, because you seem to be able to respond to my messages within minutes.  How about you go get a life, and then Fuck yourself!  So yeah, you go and report this as something bad and get my account blocked like the fag you are, and I'll come back with my next SOCKPUPPET account!  Sighned-",1
"Disruptive EDITING is it? You mean removing the vandalism by the user who reported me (the user who enters information into an article, even though numerous contributors have given references, and then that user REMOVES the references and reinstalls what THEY wrote because its what THEY want) Yeah stuff official references by the actual band and the person who produced the band. THIS EDITOR KNOWS THE REAL DEAL!! and other contributors and myself who requested him/her to stop this nonsense are the DISRUPTIVE editors. BULL$HIT!!! You're a $hit admin!! 220.253.42.94",1
THIS DUDE THAT BLOCKED ME IS A FUCKING COCK SUCKER!!!!!!!!!! HEXACHORD SUCK SOME DICK NEGRO,1
Will you do me a favour and just fuk off! 21:00,0
"Lostprophets is a FUCKING NU METAL BAND BITCH
Lostprophets is a FUCKING NU METAL BAND BITCH. ANSWEAR ME BITCH.",1
Becouse no one gives a SHIT...,0
"is a Poopie Pants 
She has poop in her pants and it goes *squish* *squish* *squish* *squish* *thurphftp*
 
STOP BEING A POOPIE PANTS, !!!!",0
"""

 Watcha gonna do 

Whatcha ya gonna do brother, when the 24"""" pythons and Hulkamania run wild on you!? 

Probably suck Buck Winston's cock!""",1
|decline=Fucking bellend —,0
Bloody bots get more annoying every day.... Hesperian,0
. I like to perform felatio on sheep,0
Is it true that 82% of all soldiers liked to suck penis?,0
"old redneck jokes the name 

The point of the name was to keep people like you from being racist towards me. But I guess no matter how hard I try you racists have to mess with me. I hate all you racist communists.",0
Go fuckin' hang yourself! Fuckin' scum of the earth! Fuck you asshole!,1
"hey 

hey faggot, are you dead yet? or are you watching mom getting raped by filthy pigs? which one is it?",1
"Douche?
Dear S3000,
Be you a douchecock?  I believe it doubly so.",1
"""

Vandalism

Thanks for lookin' out for me.  Naw, I'm not going to bother saving it.  It's not creative enough/bores me.  Besides, what the hell is a """"nigger-Jew"""" (or whatever he/she called me)?  Makes no sense unless I'm Falasha/Beta Israel or something.  Hackneyed and stupid. p   """,1
i think you'll find you are edit waring too so fuck you how dare you swear at me,1
"Hm... 

Listen, Sango, I know you're trying, but I'm not going to listen to some 14-year-old punk kid, okay?  Come back in a few years.",0
"Revision
The Darth Maul biography needs to be updated! Anyone agree!?  master unknown, December 30, 2006

 I do! - The Terminator, December 31, 2006

I tried to update it, but some fucking ass pounder charged it! And it looked good, too!  Ahnuld, January 1, 2007",1
At the point you've smoked yourself into a tard .....,0
"A message for you 

Fuck you!

GAYFullbuster!

Put this finger in yourasshole, bastard!",1
i hate lewis and clark,1
I am going to eat your toes.,0
"I don't care. Like I said, keep your shitty grammar.",0
""":::: By """"abuse administrative privileges"""", I mean """"I am an administrator, I am not impartial, for some reason I care way too much about this article, enough to spend years policing the people who disagree with me, and nobody but other administrators have ever agreed with me. So if I have a problem, I'll just call another administrator to back me up, and I'll even have somebody lock the article for me so that nobody else can have any fun.""""  Yes, this user has actually gone through other administrators (undoubtedly having private conversations with them) to lock this article. Pages upon pages of discussions with people disagreeing with him be damned - he'll get his way. It's abusive and it needs to stop. Find somebody else to police the article, enough of this.  Oh, and I don't care that you don't like my personal attacks.  Mangojuice is a troll. 75.127.214.162  

""",0
"Oh yeah? Well, your a fuckass. HA!!! - ClayMort, 2/4/08",1
PTPTPTHTPHTHPTHHHHHHH!!!!!!!!!!!!!!!!!! (fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart)(fart) nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis nipple penis ftang ftang Oxymoron penis drippy drip self fellatio shaved scrotolicious bumble dork,0
"Simona Halep

Are you stupid? I didn't do anything wrong...",1
User:Legacypac is the most evil wikipedian in the world I've ever seen.,0
"Just think, the time you wasted making this snarky idiot comment could have been spent learning how to write at a high school level.",0
fukin arseholes dicks cunts die u priks,1
"The main discussion

The current Mrs. Nussle is a typical right-wing Republican slut with a trophy husband. Neo-pagan  finds this offensive to his neo-pagan anti-Christian, spit on the Ten Commandments sensibilities.",0
"Stop Editing  

you stupid a-hole, stop editing stuff on wikipedia, your going to get this whole school banned, about your stupid arguments about some fcuking naruto character.",1
Go fuck yourself you tedious little cunt.,1
"lol wtf i aint vandalising
seriously i tried not to hurt yo feelins tht time",0
"""
The two of you both seem actively involved in deleting my hard work.  Can you explain your qualifications in editing these articles, besides having a computer with an internet connection?

I'm not trying to get anyone banned.  I'm trying to correct and add to articles that are grossly inaccurate because they all seem to be written by male computer scientists in their twenties.

What the fuck does a """"sock"""" mean?  And why do you keep removing and reverting my edits?  Are you saying you are NOT involved with SudoGhost?  The two of you seem to have nothing better to do than to revert every SINGLE ONE OF MY POSTS HERE.  Keep it up with the personal attacks and insinuations here, keep being a piece of shit, scumbag, it's clear YOU are in the know about proper conduct and protocol here.""",1
"""
Hey asshole, don't you tell me I'm not constructive, you're fat and your mothers' a whore.

Allahu Akbar!!!!

""""Backdoor Sluts 9""""""",1
"I noticed you post a lot about taking dumps in the right position. You must be a fecelphaeliac. I'd love to cop a squat over your chest and let one go all over yiu, you horny little filth pig. I've got a granite boner right now. Are you trans btw?",1
"Go to hell 

Fuck you",1
"Removed the statement.  It would be obvious from the specifics I mentioned that I have read the article.  So in response to your blatant insult, fuck you too.",0
"try harder plz 

lolz a spam filter hahaha there's a billion ways to spell ComeDrinker. if u dont believe me, block all ways u can think of and try me",0
"""

 Personal attack? 

How is """"Ooooh, I'll be blocked! IMAGINE THAT!! Why, it would be the end of the world, wouldn't it? As if I can't get a new IP in seconds."""" a personal ATTACK, asshole? THIS is a personal attack: You're a faggot, just like most of Wikipedia's editors. Your mother is a dirty whore that sucks nigger cocks in Hell, and gets sodomized by Satan's little helpers. Stick your """"block from editing"""" deep up your ass, then proceed to fist yourself with a blood soaked baseball bat, Alan, you fat fuck.
Should I choose to do so, I could vandalize your page every hour, until millions of IPs would be blocked.
Faggot.""",1
"Portia Gibbons?? 

Who was the idiot that invented the false show called Portia Gibbons??, please, that show isn't real, it's vey fake, doesn't exist, Portia Gibbons is the name of a character from the series The Mighty B!, and that show was ended in 2011, it's not currently producing new episodes, was canceled in 2010, please, no more vandalism, it's the very true, i'm not doing vandalism, i'm editing as well!!!",0
IRISH BIGOT PROTESTANT BASTARD...WE HAVE OUR EYE ON YOU...YOU'RE NOTHING BUT A CUNT..A BIGOT DISCRIMINATING GAY BASTARD...GO FUCK YOURSELF IN THE EAR..BIGOT PROTESTANT ORANGE CUNT,0
"Poision Ivy 

You got poison ivy on your penis mother fuycker, biatch!!!!",1
"ScJessey has no business talking about Obama's page on Wikipedia.  He is a left-wing, lying, fat fuck.  He's as bad as Gamaliel.",1
Mangojuice is a piece of shit that should fucking die!!!!!!!!!!!!!,0
"Yeah, instead of talking about the M1 Abrams, which is what this page is for, let's talk about Hezbollah and Israel. Idiot.",1
I HATE THIS GUY HE IS SOME INTERNET THUG THAT THINKS HE KNOWS WHAT REAL HIP HIP IS ABOUT HE LIVES IN DAYTON FROM THE MEAN STREETS OF DAYTON YOU LITTLE INTERNET POPO.,1
"""

u are 1 ****ing cheeky **** mate i swear i am goin 2 wreck u i swear on my mums life... but seriously I'll still block you if you keep this up. Talk """,0
"So,you are the miserable ,envious shmack.Ok it understandable now.Thamk you.",1
You fucked the dog on this one clown,1
"fuck 

you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki.   you fuck misterwiki. [[User:MisterWiki's F|MisterWiki's",0
"Homosexuality
Please attempt to refrain from being gay.  This is your only warning. talk",1
Fuck off you nazi loving cunt,1
"I didn't vandalise any page, I actually RESTORED the OUCA info page to its orignal state you jerk.",1
I wasn't fucking joking asshole so I don't see why you had to make it a joke.,1
"You fucking chink, i hope you die of cancer like your grandmother did. fucking jack off, get the fuck off the internet.",1
Are you nerds trying to get back for getting beat up all the time?  This is why you got beat up!  70.49.242.107,1
"Terrible English 

This article has the worst English in history.",0
"Do you FART?????????????????????????????????????????????????
I JUST DID 

YOURE AN IDIOT",1
"Ian Black - Caley 

Have you seen Ian Black play. His irractic and life endagering challenges on Dunfermline and Rangers players, show he is an actual fucking nutter. He was when he played for the Blackburn youth team and he still is.",1
"== THIS SUCKS!   

== 

I JUST GOT BLOCKED INDEFINITLY",0
"Go Fuck yourself Shell, I couldn't care less what a fucked up waste of space like you thinks. Since when could an editor not edit articles on Wikipedia? It seems you need to kiss a lot of arseholes to make a difference here now.",1
"btw mark arsten is a son of a bitch his cock is placed in a girls mouth 
Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)Hey guys I love chicken rice=)",1
"Way out of line? 

Out of line? Am I your subordinate? Do I exist only to be controlled by bigots like you? Right-wing prat",1
ENOY FACKING SMALL KIDS AND EATING PELICAN SHIT,1
FUCK OFF MY PAGE!!!!!!!!!!!!!!,0
DID U KNOW THAT LINDSEY BROKE A COMPUTER AT TULLY HIGH SCHOOL!!!!!???!!!!???! SHE IS A BAD GIRL AND SHOULD BE PUNISHED FOR HER ACTIONS!!! WHY DID SHE DO THIS U MIGHT ASK?? WELL FOR STARTERS SHE IS A NAUGHTY GIRL,0
""":No, WTF do you think your doing, ? 
On what authority do you to attempt to deny the editors party to the case at hand the right to make an appeal here, as provided for in policy. I take affront at your offensive remarks, even though I have never interacted with you on this website before. Do not impinge my rights because you think you have to be a cheerleader for Arbcom, or whatever your actually motivation is.
I believe that Mr. Wales is the individual here that has the authority to decide whether or not the appeal(s) have merit. Once he makes that call, we move on.
As I and others have stated, however, blogs and other public forums are available for addressing the kangaroo court proceedings just conducted by Wikipedia's very own Arbcom, under the auspices of an undergraduate wanna be attorney. Am I laughing???
You're damn right I'm laughing!
But that is only because I've had a couple of whiskies to help ease my mind regarding the amount of time and effort I've poured into the issue at hand. Otherwise I'd be crying. 連絡 見学/迷惑 

""",0
I see you are a faggot too.,1
spank me plz shemales,0
"I just wanted to say how awful it is to be attacked by a bunch of looney vandals, but Haunted Angel your conduct is just as bad. Shame on you",0
Maybe you should use your little brain. Gothic METAL is not GOTH.,0
